time us,current kA
0.223,35.4825
0.224,34.72725
0.225,37.77675
0.226,37.57725
0.227,36.66525
0.228,36.66525
0.229,33.8865
0.23,35.55375
0.231,34.656
0.232,31.79175
0.233,33.744
0.234,32.9745
0.235,29.36925
0.236,27.9015
0.237,27.132
0.238,25.3935
0.239,26.43375
0.24,23.1705
0.241,22.8285
0.242,23.58375
0.243,23.38425
0.244,23.58375
0.245,25.0515
0.246,27.83025
0.247,29.71125
0.248,32.0055
0.249,34.15725
0.25,35.21175
0.251,34.656
0.252,37.77675
0.253,35.83875
0.254,35.34
0.255,35.21175
0.256,31.79175
0.257,31.521
0.258,32.49
0.259,32.21925
0.26,32.21925
0.261,32.21925
0.262,32.21925
0.263,32.21925
0.264,32.21925
0.265,32.0055
0.266,30.7515
0.267,30.552
0.268,26.79
0.269,25.32225
0.27,26.37675
0.271,25.821
0.272,28.59975
0.273,29.982
0.274,32.36175
0.275,35.967
0.276,39.80025
0.277,43.27725
0.278,40.2135
0.279,38.2755
0.28,39.94275
0.281,36.46575
0.282,37.57725
0.283,34.15725
0.284,35.55375
0.285,34.92675
0.286,34.72725
0.287,34.72725
0.288,34.998
0.289,36.46575
0.29,39.5865
0.291,43.6335
0.292,40.2135
0.293,37.9905
0.294,37.0215
0.295,37.77675
0.296,35.34
0.297,32.21925
0.298,30.7515
0.299,31.79175
0.3,32.0055
0.301,35.06925
0.302,35.21175
0.303,34.371
0.304,34.72725
0.305,34.92675
0.306,37.77675
0.307,36.1095
0.308,36.66525
0.309,36.95025
0.31,36.66525
0.311,36.1095
0.312,33.6015
0.313,36.46575
0.314,37.57725
0.315,36.66525
0.316,37.221
0.317,40.014
0.318,40.983
0.319,40.2135
0.32,43.833
0.321,43.0065
0.322,46.55475
0.323,45.2295
0.324,45.999
0.325,48.849
0.326,46.683
0.327,48.564
0.328,42.65025
0.329,41.4675
0.33,39.45825
0.331,37.14975
0.332,35.1405
0.333,34.2285
0.334,34.998
0.335,34.92675
0.336,37.77675
0.337,36.3945
0.338,39.80025
0.339,38.475
0.34,41.61
0.341,42.50775
0.342,40.2135
0.343,38.2755
0.344,39.94275
0.345,38.68875
0.346,35.625
0.347,38.6175
0.348,40.983
0.349,42.65025
